id,is_deleted,created_at,object_type,cospar_id,norad_id,name,name_official,expected_lifetime,purposes,contractor,launch,mass,geometry,orbital_elements,propulsion,object_sub_type,operators,reentry_date,current_space_object_version_id,discos_id,updated_at,vimple_id,is_manoeuvrable,is_operational,radar_cross_section
01GZKZ0PZ2CTKSCQMZQMKGMM8Z,False,2023-05-04 18:05:04.293085+00:00,satellite,2023-058AJ,56349,STARLINK-5887,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01GZKZ0V5Q9DN6PDX0B22VWP3T,,2023-05-04 18:05:04.293085+00:00,,,,
01GARKAWXZDTCZGNFVAXHTWS2J,False,2022-08-18 13:47:26.529191+00:00,debris,1962-002D,229,ALTAIR 1 (Delta),,,[],,"{'Date': '1962-02-08T12:43:00+00:00', 'Site': 'Kennedy Space Center (ETR)', 'Vehicle': 'Delta', 'CosparLaunchNo': '1962-002'}","{'Dry': None, 'Launch': 23.79, 'Current': None}","{'Span': {'Value': 1.5, 'IsComputed': False}, 'Shape': 'Cyl', 'Width': None, 'Height': None, 'Length': 0.5, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,rocket_body,"[{'Name': 'NASA Goddard Space Flight Center', 'Country': 'United States'}]",2002-08-10 00:00:00+00:00,01GVJPMH29NNAR7Q3RZHWYPJWV,,2023-03-15 13:16:32.200793+00:00,,,,
01GZ3P6QY1A8YFVGG9XYW9TJ1G,False,2023-04-28 10:23:11.839217+00:00,satellite,2023-001AW,'55053,EOSSAT-1,EOSSAT-1,5.0,[2],"{'Name': 'string', 'Country': 'string'}","{'Date': '2023-03-17T14:47:16.448+00:00', 'Site': 'string', 'Vehicle': 'string', 'CosparLaunchNo': 'string'}","{'Dry': 179.2, 'Launch': 181, 'Current': 180, 'DefaultMass': {'Type': 3, 'Value': 180}}","{'Span': {'Value': 1.39, 'IsComputed': False}, 'Shape': 'triangle attached to trapezoid (back to back)', 'Width': None, 'Height': None, 'Length': 1, 'Diameter': None, 'DragArea': 1.39, 'DragCoefficient': 2.4, 'RateOfAbsorption': 0.1, 'BoxAndSolarPanels': {'Facets': [{'Area': 0.674041, 'NormalVector': [1, 0, 0]}, {'Area': 1.9321, 'NormalVector': [0, 1, 0]}, {'Area': 1.2769, 'NormalVector': [0, 0, 1]}, {'Area': 0.674041, 'NormalVector': [-1, 0, 0]}, {'Area': 1.9321, 'NormalVector': [0, -1, 0]}, {'Area': 1.2769, 'NormalVector': [0, 0, -1]}], 'SolarPanelArea': 0, 'SolarPanelNormalVector': [1, 0, 0], 'SolarPanelRotationRate': None, 'SolarPanelRotationAxisVector': [1, 0, 0]}, 'SolarRadiationArea': 1.39, 'CrossSectionAverage': 1.39, 'CrossSectionMaximum': 1.39, 'CrossSectionMinimum': 1.39, 'AbsorptionCoefficient': 0.1, 'ReflectivityCoefficient': 0.8}","{'Raan': None, 'Type': 8, 'Epoch': '2023-01-03T15:30:00+00:00', 'Apogee': 6945554.999999999, 'Period': 5717.71257749167, 'Perigee': 6876445, 'RefFrame': None, 'Inclination': 97.49, 'MeanAnomaly': None, 'TrueAnomaly': None, 'Eccentricity': 0.005, 'OrbitalRegime': 1, 'SemiMajorAxis': 6911000, 'ArgumentOfPerigee': None}","{'Chemical': None, 'Electrical': {'MaxThrust': 0.005, 'MinThrust': 0.005, 'SpecificImpulse': 1200, 'MaxThrustDuration': 600, 'MinThrustDuration': 0, 'MinimumImpulseBit': 0.005}, 'PropulsionTypes': [2]}",payload,"[{'Name': 'Dragonfly Aerospace', 'Country': 'string'}]",2046-03-17 14:47:16.448000+00:00,01H2WNA1CACTG236KVW2V4EHZT,string,2023-06-14 09:55:36.974130+00:00,string,True,True,"{'Size': None, 'SizeCategory': 1}"
01G9MY8ND475EMV8K05629071D,False,2022-08-04 17:25:48.069418+00:00,debris,2018-002G,43105,CZ-2D DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29QXKFX73EHT91AW30,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MY8QCS22H0ZYWRWC2AKJPH,False,2022-08-04 17:25:50.106924+00:00,satellite,2021-005AH,47380,STARLINK-2100,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29P305NVW2NBA0MMQB,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MY8TH85MD5B4S0ERA7ZK4J,False,2022-08-04 17:25:53.321544+00:00,debris,2016-068C,44603,CZ-2D DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29XTB1X7D6QYQNFDBM,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MYZNPEB1NNT9F9QNAZV7KC,False,2022-08-04 17:38:22.031727+00:00,satellite,2022-041BE,52313,STARLINK-3749,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29R7C0BXHHPXB4CHVM,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MYZS9T0NV849QJA9QA9M54,False,2022-08-04 17:38:25.725113+00:00,satellite,2021-069B,49056,EUTELSAT QUANTUM,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH291BNVZ80DYR3PAGS0,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MYZV4GCHSVRCB22JYCWG9M,False,2022-08-04 17:38:27.600836+00:00,debris,1999-025BAY,30958,FENGYUN 1C DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29HDTMQ3PJA5H0T1F6,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MZ13VG96129EQB7XA12ZN5,False,2022-08-04 17:39:09.297034+00:00,debris,1993-016CZ,42245,SL-16 DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29XYWMTPTPFFVP54TV,,2023-03-15 13:16:32.200793+00:00,,,,
